id,action_sequence,first_action_rb,fact,ai_assistance
llamp,1076-658-3316-12516-1143-105-4347-105-4385-822-164-889-105-989-105-1351,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
hb2lr,1076-658-3316-760-1593-8615-105-1455-105-4187-822-12516-1143-105-1353-105-5032,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
iylhs,1076-658-3316-12516-1143-105-1195-105-5032-822-10477-697-105-1159-105-4275,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
c5g4p,1076-658-3316-760-1593-8615-105-1127-105-4046-822-685-2207-8615-105-1072-105-3114,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.61.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
krocf,1076-658-3316-760-1593-8615-105-115-105-3876-822-12516-1143-105-775-105-3835,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
qcd4o,1076-658-3316-10686-10909-704-105-1126-105-4073-822-12516-1143-105-906-105-2913,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
wrwb5,1076-658-3316-760-1165-105-1012-105-4465-822-164-17762-2613-105-1012-105-1265,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G005|TAG=ANCHOR_LOOP|P=LOW|COUNT=32|REP=lsokt|A=105|ABA=2|Buniq=1
qtfg0,1076-658-3316-164-889-105-906-105-4691-822-10477-697-105-1127-105-1455,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
tygab,1076-658-3316-164-17762-2613-105-4425-105-905-822-12516-5451-105-907-105-4089,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
w3726,1076-658-3316-12516-1143-105-992-105-4507-822-7943-105-1353-105-3382,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
g4n07,1076-658-3316-12516-5451-105-905-105-907-822-164-17762-2613-105-867-105-4275,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
j78qg,1076-658-3316-760-1593-8615-105-992-105-1244-822-164-889-105-4425-105-905,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
p5txp,1076-658-3316-12516-5451-4521-2669-105-1455-105-4599-822-836-105-976-105-4275,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
h4t1f,1076-658-3316-10686-10909-704-105-4129-105-4275-822-836-105-907-105-4004,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
kupso,1076-658-3316-685-2207-8615-105-1126-105-4539-822-10477-697-105-989-105-3065,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
ttb2h,1076-658-3316-10686-10909-704-105-1042-105-3115-822-164-889-105-4275-105-3246,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
zb0jj,1076-658-3316-760-1165-105-1042-105-4691-822-164-889-105-4491-105-4103,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
qwztg,1076-658-3316-685-2207-8615-105-4187-105-907-822-12516-5451-105-976-105-3246,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
zrbt8,1076-658-3316-760-1593-8615-105-867-105-1195-822-12516-5451-4521-2669-105-867-105-4425,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 19 thao tác. Chỉ số hỗn loạn (Entropy): 3.72.",G=G037|TAG=ANCHOR_LOOP|P=LOW|COUNT=2|REP=zrbt8|A=105|ABA=2|Buniq=1
bxrzm,1076-658-3316-836-105-1072-105-4603-822-164-17762-2613-105-979-105-4507,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
s2w3w,1076-658-3316-760-1165-105-112-105-4519-822-12516-1143-105-1159-105-4539,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
xh1v0,1076-658-3316-12516-1143-105-4004-105-4581-822-10686-10909-704-105-115-105-867,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
ixa4c,1076-658-3316-164-17762-2613-105-1127-105-3065-822-760-1593-8615-105-1353-105-1195,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.73.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
dgjkq,1076-658-3316-685-2207-8615-105-4037-105-3362-822-164-889-105-976-105-4150,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
xe68d,1076-658-3316-12516-5451-105-115-105-1243-822-12516-5451-105-867-105-2088,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.25.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
phstd,1076-658-3316-7943-105-114-105-4073-822-836-105-989-105-989,"['989', '105']","Phát hiện 3 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 14 thao tác. Chỉ số hỗn loạn (Entropy): 3.09.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
tqceu,1076-658-3316-12516-5451-105-1243-105-929-822-164-17762-2613-105-111-105-1265,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
tqvsa,1076-658-3316-12516-5451-105-1353-105-1265-822-7943-105-1265-105-4350,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.24.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
nfis2,1076-658-3316-760-1165-105-1353-105-2581-822-10477-697-105-4004-105-4103,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
iacs5,1076-658-3316-164-17762-2613-105-4037-105-4731-822-10477-697-105-1243-105-775,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
xj1zo,1076-658-3316-760-1593-8615-105-115-105-1353-822-12516-5451-105-1455-105-2581,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
eqaau,1076-658-3316-760-1593-8615-105-1159-105-4359-822-12516-1143-105-110-105-2125,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
r16hv,1076-658-3316-12516-1143-105-989-105-4706-822-836-105-775-105-3493,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
afy6y,1076-658-3316-10686-10909-704-105-1353-105-3246-822-10686-10909-704-105-1127-105-4037,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.39.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
yiayu,1076-658-3316-10477-697-105-976-105-4275-822-760-1165-105-111-105-3876,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
apyw6,1076-658-3316-12516-5451-4521-2669-105-115-105-3231-822-685-2207-8615-105-989-105-3387,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 19 thao tác. Chỉ số hỗn loạn (Entropy): 3.83.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
usftw,1076-658-3316-836-105-775-105-4306-822-12516-1143-105-905-105-3115,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
osloz,1076-658-3316-164-889-105-1353-105-4167-822-12516-1143-105-1455-105-4507,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
locpg,1076-658-3316-164-889-105-907-105-4425-822-164-17762-2613-105-989-105-4581,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
j9p1u,1076-658-3316-7943-105-1244-105-4117-822-836-105-1072-105-907,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 14 thao tác. Chỉ số hỗn loạn (Entropy): 3.24.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
nq7ct,1076-658-3316-164-889-105-1353-105-4491-822-760-1165-105-1243-105-1195,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
bl6su,1076-658-3316-7943-105-1244-105-4311-822-760-1593-8615-105-906-105-3876,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
sjq2s,1076-658-3316-12516-5451-4521-2669-105-929-105-1072-822-12516-5451-105-1126-105-3387,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
t6s93,1076-658-3316-10686-10909-704-105-867-105-4167-822-164-889-105-867-105-4519,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G005|TAG=ANCHOR_LOOP|P=LOW|COUNT=32|REP=lsokt|A=105|ABA=2|Buniq=1
uy46d,1076-658-3316-12516-5451-4521-2669-105-979-105-4899-822-12516-1143-105-1353-105-4899,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
l12kf,1076-658-3316-7943-105-1353-105-4519-822-10477-697-105-108-105-4729,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
ob1u4,1076-658-3316-12516-5451-105-976-105-4486-822-760-1593-8615-105-113-105-4187,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
xi728,1076-658-8690-1749-621-109-867-881-694-867-4507-15342-1104,['867'],"Phát hiện 0 lần lặp 3 bước (A-B-A), 1 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 13 thao tác. Chỉ số hỗn loạn (Entropy): 3.55.",G=G057|TAG=RB4|P=HIGH|COUNT=1|REP=xi728|A=867|ABA=0|Buniq=0
f2tzs,1076-658-3316-836-105-115-105-2953-822-164-17762-2613-105-1012-105-4691,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
az5g2,1076-658-3316-10686-10909-704-105-992-105-2088-822-10477-697-105-112-105-4706,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
f6g3r,1076-658-3316-10686-10909-704-105-1195-105-2581-822-164-17762-2613-105-4507-105-1042,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.73.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
hr3v8,1076-658-3316-836-105-4037-105-3889-822-10686-10909-704-105-1353-105-4729,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
u62wq,1076-658-3316-7943-105-1159-105-4787-822-10477-697-105-989-105-929,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
bzjiq,1076-658-3316-12516-5451-105-976-105-1159-822-10477-697-105-989-105-4167,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
m0kly,1076-658-3316-12516-5451-4521-2669-105-1012-105-1243-822-164-17762-2613-105-1126-105-2032,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 19 thao tác. Chỉ số hỗn loạn (Entropy): 3.83.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
k4sbp,1076-658-3316-164-17762-2613-105-1243-105-4073-822-10477-697-105-4187-105-3115,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
y2tsc,1076-658-3316-7943-105-775-105-1469-822-10686-10909-704-105-4507-105-4117,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
mc0ay,1076-658-3316-7943-105-4187-105-4966-822-685-2207-8615-105-976-105-4840,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
nfcbf,1076-658-3316-760-1165-105-929-105-4787-822-164-17762-2613-105-929-105-2824,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G005|TAG=ANCHOR_LOOP|P=LOW|COUNT=32|REP=lsokt|A=105|ABA=2|Buniq=1
f05j7,1076-658-3316-760-1593-8615-105-1159-105-4942-822-7943-105-4187-105-4117,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
r7vrx,1076-658-3316-12516-1143-105-1127-105-4359-822-12516-5451-105-992-105-1159,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
hzwi8,1076-658-3316-7943-105-1244-105-3562-822-12516-5451-105-1455-105-4731,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
d7ykj,1076-658-3316-12516-5451-4521-2669-105-1455-105-3231-822-7943-105-1159-105-3889,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
ui8r8,1076-658-3316-10686-10909-704-105-1012-105-4615-822-164-889-105-1159-105-2125,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
vcbyn,1076-658-3316-685-2207-8615-105-1455-105-4073-822-12516-1143-105-4129-105-2581,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
mgkne,1076-658-3316-12516-5451-4521-2669-105-907-105-1127-822-760-1165-105-109-105-4556,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.73.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
hbmnv,1076-658-3316-10477-697-105-107-105-3115-822-12516-1143-105-979-105-3889,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
lazrk,1076-658-3316-12516-5451-4521-2669-105-1072-105-2824-822-685-2207-8615-105-1265-105-3835,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 19 thao tác. Chỉ số hỗn loạn (Entropy): 3.83.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
